Voltage(V),Current(A)
0.000000000000000000e+00,6.451088526749995761e-16
1.000000000000000056e-01,2.499214101038692414e-14
2.000000000000000111e-01,1.129791347442249652e-12
3.000000000000000444e-01,5.111884204450148074e-11
4.000000000000000222e-01,2.320588852704855986e-09
5.000000000000000000e-01,1.052799157528466519e-07
5.999999999999999778e-01,4.763970832213245318e-06
6.999999999999999556e-01,2.144697757756811713e-04
8.000000000000000444e-01,9.478194385546510198e-03
9.000000000000000222e-01,3.244533657645226610e-01
1.000000000000000000e+00,3.147114321235415346e+00
1.500000000000000000e+00,5.182937090602538177e+01
2.000000000000000000e+00,1.037995440122656987e+02
2.500000000000000000e+00,1.517541794188398683e+02
3.000000000000000000e+00,1.966760476610198793e+02
5.000000000000000000e+00,3.584451089753632118e+02
